#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         448      5.7307     5.39195    0.133614
         449      5.7339     5.39271    0.133319
         450     5.74044     5.39349    0.133025
         451     5.74465     5.39427    0.132732
         452     5.74725     5.39505    0.132441
         453     5.75177     5.39583    0.132151
         454     5.75395     5.39662    0.131862
         455     5.75734     5.39742    0.131575
         456     5.76122     5.39821    0.131288
         457     5.76347     5.39901    0.131004
         458     5.76761     5.39982     0.13072
         459     5.76942     5.40062    0.130438
         460      5.7703     5.40143    0.130157
         461     5.77238     5.40223    0.129877
         462     5.77352     5.40304    0.129598
         463     5.77443     5.40384    0.129321
         464     5.77513     5.40464    0.129045
         465     5.77701     5.40544    0.128769
         466     5.77939     5.40624    0.128496
         467     5.77872     5.40704    0.128223
         468     5.78065     5.40784    0.127951
         469     5.78025     5.40863    0.127681
         470     5.78176     5.40942    0.127412
         471     5.78164     5.41021    0.127144
         472     5.78132       5.411    0.126877
         473     5.78222     5.41179    0.126611
         474     5.78081     5.41256    0.126346
         475     5.78062     5.41334    0.126083
         476     5.78025     5.41411     0.12582
         477     5.77969     5.41488    0.125559
         478     5.77826     5.41564    0.125298
         479     5.77595     5.41639    0.125039
         480     5.77489     5.41714    0.124781
         481     5.77368     5.41788    0.124524
         482      5.7709     5.41861    0.124267
         483      5.7701     5.41934    0.124012
         484     5.76704     5.42006    0.123758
         485     5.76384     5.42076    0.123505
         486     5.76122     5.42146    0.123253
         487     5.75918     5.42216    0.123002
         488     5.75632     5.42284    0.122752
         489     5.75334     5.42352    0.122502
         490     5.75026     5.42419    0.122254
         491     5.74778     5.42484    0.122007
         492     5.74307     5.42549    0.121761
         493     5.73968     5.42613    0.121515
         494     5.73689     5.42676    0.121271
         495     5.73402     5.42738    0.121028
         496     5.72964     5.42799    0.120785
         497     5.72728     5.42859    0.120544
         498     5.72343     5.42918    0.120303
         499     5.71807     5.42976    0.120063
         500     5.71474     5.43033    0.119825
         501      5.7092     5.43089    0.119587
         502     5.70498     5.43143     0.11935
         503     5.70066     5.43197    0.119114
         504     5.69485     5.43249    0.118878
         505     5.68964       5.433    0.118644
         506     5.68504      5.4335    0.118411
         507     5.68175     5.43399    0.118178
         508     5.67764     5.43447    0.117947
         509       5.672     5.43493    0.117716
         510     5.66696     5.43539    0.117486
         511     5.66179     5.43583    0.117257
         512      5.6565     5.43626    0.117029
         513     5.65177     5.43668    0.116801
         514     5.64691     5.43709    0.116575
         515     5.64119     5.43749    0.116349
         516     5.63674     5.43787    0.116124
         517     5.63071     5.43825      0.1159
         518     5.62593     5.43861    0.115677
         519     5.62028     5.43896    0.115455
         520     5.61304     5.43929    0.115233
         521     5.60492     5.43961    0.115012
         522     5.59732     5.43991    0.114792
         523     5.58953      5.4402    0.114573
         524     5.58226     5.44047    0.114355
         525     5.57621     5.44073    0.114137
         526     5.56927     5.44097    0.113921
         527     5.56142      5.4412    0.113705
         528     5.55479     5.44142     0.11349
         529     5.54726     5.44162    0.113275
         530     5.53953      5.4418    0.113062
         531      5.5302     5.44197    0.112849
         532     5.52067     5.44212    0.112637
         533     5.51095     5.44225    0.112426
         534     5.50246     5.44236    0.112215
         535     5.49238     5.44245    0.112005
         536     5.48212     5.44253    0.111796
         537      5.4724     5.44258    0.111588
         538     5.46252     5.44262    0.111381
         539     5.45178     5.44264    0.111174
         540     5.44161     5.44263    0.110968
         541     5.43202     5.44262    0.110763
         542     5.42442     5.44258    0.110559
         543     5.41459     5.44253    0.110355
         544     5.40326     5.44246    0.110152
         545     5.38972     5.44236     0.10995
         546     5.37964     5.44225    0.109749
         547     5.36809     5.44211    0.109548
         548     5.35791     5.44196    0.109349
         549       5.347     5.44178     0.10915
         550     5.33607     5.44159    0.108951
         551     5.32445     5.44138    0.108754
         552     5.31354     5.44115    0.108557
         553     5.30338      5.4409    0.108361
         554     5.29396     5.44063    0.108166
         555     5.28249     5.44035    0.107971
         556     5.27109     5.44004    0.107777
         557      5.2612     5.43972    0.107584
         558      5.2514     5.43939    0.107392
         559     5.24102     5.43903    0.107201
         560     5.23006     5.43866     0.10701
         561     5.21996     5.43827     0.10682
         562     5.20929     5.43786    0.106631
         563     5.20021     5.43744    0.106442
         564       5.192       5.437    0.106254
         565     5.18256     5.43655    0.106067
         566     5.17471     5.43609    0.105881
         567     5.16636     5.43561    0.105695
         568     5.15609     5.43512     0.10551
         569     5.14743     5.43462    0.105326
         570      5.1411      5.4341    0.105142
         571     5.13286     5.43357    0.104959
         572     5.12555     5.43304    0.104777
         573     5.11775     5.43249    0.104596
         574     5.10945     5.43192    0.104415
         575     5.09996     5.43135    0.104235
         576     5.09422     5.43076    0.104056
         577     5.08727     5.43016    0.103877
         578     5.07912     5.42956    0.103699
         579     5.07258     5.42894    0.103522
         580     5.06694     5.42832    0.103345
         581      5.0608     5.42768     0.10317
         582     5.05343     5.42704    0.102994
         583     5.04695     5.42639     0.10282
         584     5.04135     5.42573    0.102646
         585     5.03452     5.42506    0.102472
         586     5.02925     5.42439      0.1023
         587     5.02202      5.4237    0.102128
         588     5.01706     5.42301    0.101956
         589     5.01153     5.42231    0.101786
         590     5.00684     5.42161    0.101616
         591     5.00299      5.4209    0.101446
         592     4.99854     5.42018    0.101277
         593     4.99422     5.41947    0.101109
         594     4.99071     5.41874    0.100941
         595      4.9873     5.41802    0.100774
         596     4.98329     5.41729    0.100608
         597     4.97938     5.41656    0.100442
         598     4.97272     5.41581    0.100277
         599     4.96827     5.41507    0.100112
         600      4.9646     5.41432   0.0999482
         601     4.96101     5.41356   0.0997848
         602      4.9589     5.41281   0.0996219
         603     4.95334     5.41204   0.0994596
         604     4.95067     5.41128   0.0992979
         605     4.94737     5.41051   0.0991367
         606     4.94555     5.40975   0.0989761
         607     4.94168     5.40898    0.098816
         608        4.94      5.4082   0.0986565
         609     4.93627     5.40743   0.0984975
         610     4.93403     5.40665   0.0983391
         611     4.93044     5.40587   0.0981813
         612     4.92976      5.4051   0.0980239
         613     4.92773     5.40432   0.0978671
         614     4.92437     5.40353   0.0977108
         615      4.9225     5.40275   0.0975551
         616     4.91929     5.40197   0.0973999
         617     4.91687     5.40118   0.0972452
