# BLOCK    CURRENT_AVE          ERROR     ACCEPTANCE
    334        2.53015      0.0742533       0.233522
    335        2.52902      0.0740407       0.233571
    336        2.53112      0.0738507       0.233709
    337        2.52748      0.0737221       0.233935
    338         2.5273      0.0735045       0.234041
    339        2.52441       0.073345          0.234
    340        2.51954      0.0732919       0.234106
    341        2.51588       0.073169       0.233977
    342        2.51174      0.0730726       0.233936
    343        2.51658      0.0730205       0.233953
    344        2.51549      0.0728166       0.233884
    345        2.52163      0.0728647       0.233786
    346        2.52474      0.0727208       0.233833
    347         2.5246      0.0725117       0.233764
    348        2.52927      0.0724542       0.233668
    349        2.52662      0.0722954       0.233829
    350        2.52005       0.072388       0.233732
    351        2.51313      0.0725127        0.23392
    352        2.51369      0.0723092       0.233881
    353        2.51817      0.0722434       0.233729
    354        2.51606      0.0720703       0.233746
    355        2.50852      0.0722628       0.233708
    356        2.50979      0.0720713       0.233725
    357         2.5166      0.0721922       0.233827
    358        2.51728       0.071994       0.233872
    359        2.51838      0.0718021        0.23375
    360        2.51135      0.0719464       0.233684
    361        2.50912      0.0717822        0.23384
    362        2.50864      0.0715858       0.233747
    363         2.5127      0.0715043       0.233764
    364        2.51255      0.0713083       0.233644
    365        2.51375      0.0711234       0.233661
    366        2.51008      0.0710241       0.233869
    367        2.50875      0.0708434       0.233913
    368         2.5105       0.070673       0.233902
    369        2.50997      0.0704838       0.233865
    370        2.51475      0.0704559       0.233881
    371        2.51875      0.0703799        0.23379
    372        2.51352      0.0703856         0.2337
    373        2.51748      0.0703092       0.233636
    374         2.5134      0.0702403       0.233787
    375        2.50661       0.070381       0.233697
    376        2.50857      0.0702212       0.234058
    377        2.51219      0.0701286       0.233889
    378        2.51463       0.069986       0.233879
    379        2.51423      0.0698027       0.233921
    380        2.51493      0.0696227       0.233885
    381        2.51966      0.0696014       0.233822
    382          2.522      0.0694588       0.233734
    383        2.52157       0.069279       0.233802
    384        2.52297       0.069113       0.233584
    385        2.52548      0.0689793       0.233497
    386        2.52631      0.0688059       0.233385
    387        2.52624      0.0686283       0.233273
    388        2.53273      0.0687585       0.232905
    389        2.53206      0.0685852       0.232923
    390        2.53583      0.0685134       0.232916
    391        2.53954      0.0684391       0.232883
    392        2.54229      0.0683203       0.232824
    393        2.54266      0.0681477       0.232817
    394        2.53443      0.0684713       0.232785
    395        2.53456      0.0682983       0.232828
    396        2.53318        0.06814       0.233023
    397        2.53297      0.0679689       0.232915
    398        2.52123      0.0688063       0.232957
    399        2.51599      0.0688339       0.232875
    400        2.51178      0.0687913       0.232993
    401        2.51419      0.0686625       0.233159
    402        2.51211      0.0685233       0.233151
    403        2.51488      0.0684095       0.232995
    404        2.50535      0.0689028       0.233062
    405        2.50373      0.0687518       0.233079
    406        2.50139      0.0686227       0.233391
    407        2.50296      0.0684722       0.233382
    408        2.50211      0.0683099       0.233447
    409         2.5039      0.0681665       0.233512
    410         2.5067      0.0680583       0.233479
    411        2.50441      0.0679319       0.233519
    412         2.5045      0.0677672        0.23339
    413        2.50132      0.0676778       0.233406
    414        2.50503      0.0676165       0.233398
    415        2.50699      0.0674822       0.233317
    416        2.50804      0.0673283       0.233405
    417        2.50513      0.0672299       0.233373
    418        2.50666      0.0670869       0.233365
    419        2.50363      0.0669959       0.233571
    420        2.50303      0.0668392       0.233634
    421        2.50218       0.066686       0.233863
    422        2.50641      0.0666621       0.233735
    423        2.50557      0.0665099       0.233868
    424        2.50403      0.0663714       0.233859
    425        2.50585      0.0662404       0.234061
    426        2.50745      0.0661044       0.233981
    427        2.50394      0.0660429       0.234276
    428         2.5001      0.0660004       0.234219
