BLK #        BLK_AVE    CURRENT_AVE          ERROR
398        1701.13           2007        25.4523
399        1701.13           2007        25.2474
400        1700.92           2006        25.2426
401        1700.92           2005        25.2387
402        1700.92           2004        25.2354
403        1700.92           2004        25.0347
404        1700.82           2003        25.0335
405        1700.82           2002        25.0331
406        1700.82           2001        25.0334
407        1700.82           2001        24.8368
408        1700.82           2000        24.8391
409        1700.82           1999        24.8421
410        1700.82           1998        24.8458
411        1700.61           1998        24.6533
412        1700.61           1997        24.6588
413        1700.61           1996         24.665
414        1700.58           1996        24.4752
415        1700.58           1995        24.4834
416        1700.58           1994        24.4921
417        1700.58           1993        24.5014
418        1700.58           1993        24.3157
419        1698.37           1992         24.326
420        1697.05           1991        24.3363
421        1697.05           1991        24.1519
422        1697.05           1990        24.1641
423        1697.05           1989        24.1768
424        1697.05           1989        23.9951
425        1697.05           1988        24.0096
426        1697.05           1987        24.0247
427        1697.05           1986        24.0403
428        1697.05           1986        23.8624
429        1697.05           1985        23.8797
430         1697.5           1984        23.8977
431         1697.5           1984        23.7225
432         1697.5           1983        23.7422
433         1697.5           1982        23.7624
434         1697.2           1982        23.5896
435         1697.2           1981        23.6113
436         1697.2           1980        23.6334
437         1697.2           1980        23.4633
438         1697.2           1979        23.4869
439         1697.2           1979        23.3182
440        1696.61           1978        23.3432
441        1696.61           1977        23.3686
442        1696.61           1977        23.2021
443        1696.61           1976        23.2291
444        1696.61           1975        23.2564
445        1696.61           1975        23.0924
446        1696.61           1974        23.1212
447        1696.41           1973        23.1503
448        1696.41           1973        22.9886
449        1696.41           1972        23.0192
450        1696.41           1972        22.8588
451        1696.41           1971        22.8908
452        1696.41           1970        22.9231
453        1696.41           1970        22.7651
454        1696.41           1969        22.7988
455        1696.41           1969        22.6421
456        1696.41           1968        22.6771
457        1696.41           1967        22.7124
458        1696.41           1967         22.558
459        1696.41           1966        22.5947
460        1695.94           1966        22.4414
461        1695.94           1965        22.4792
462        1695.94           1964        22.5172
463        1695.94           1964        22.3662
464        1695.94           1963        22.4055
465        1695.94           1963        22.2558
466        1695.94           1962        22.2963
467        1695.94           1962        22.1478
