GEN #         BEST_L         L_MEAN
370        1846.28        1906.03
371        1843.53        1895.84
372        1843.53        1878.49
373        1843.53        1871.05
374        1843.53        1875.85
375        1843.53        1862.39
376        1843.53        1880.37
377        1840.81        1879.83
378        1840.81        1872.94
379        1840.81        1869.23
380        1840.81        1881.46
381        1840.03        1864.18
382        1840.03        1880.52
383        1835.88        1872.32
384        1835.88        1869.72
385        1835.88        1868.05
386        1835.88        1883.29
387        1835.83        1871.23
388        1835.58        1864.97
389        1835.58        1852.19
390        1835.58        1862.11
391        1835.58        1880.71
392        1835.58        1861.69
393        1835.58        1882.22
394        1835.58        1877.98
395        1835.02        1870.74
396        1835.02        1864.31
397        1835.02        1873.05
398        1834.69        1868.58
399        1834.69        1885.82
400        1834.69        1874.95
401        1834.69        1862.76
402        1834.69        1870.19
403        1834.69        1856.18
404        1834.69        1865.93
405        1833.86        1868.63
406        1833.86        1858.32
407        1833.86        1878.98
408        1833.86        1877.61
409        1833.05        1861.48
410        1831.31        1857.45
411        1831.31         1883.5
412        1831.31        1858.99
413        1831.31        1874.96
414        1831.31        1865.98
415        1831.31        1873.65
416        1831.31        1876.05
417        1831.31        1857.68
418        1831.31        1865.44
419        1831.31        1875.81
420        1831.31        1859.18
421        1831.31        1859.26
422        1831.31        1862.08
423        1831.28        1864.31
424        1831.28        1862.22
425        1831.28        1860.82
426        1827.67         1853.1
427        1827.67        1863.63
428        1827.67        1865.11
429        1827.67        1865.84
430        1827.67        1867.32
431        1827.22        1862.15
432        1827.22        1872.03
433        1827.22         1858.8
434        1827.22         1863.6
435        1827.22        1868.88
436        1825.48        1854.82
437        1825.48        1848.04
438         1823.8        1856.71
439         1823.8        1861.99
440         1823.8        1879.09
441         1823.8        1854.13
442         1823.8        1867.51
443         1823.8        1852.61
444        1823.42        1866.59
445        1823.42        1848.65
446        1823.42        1865.06
447        1823.42        1849.23
448        1823.42        1858.61
449        1822.61        1847.76
450         1821.3        1851.26
451         1821.3        1845.05
452         1821.3        1843.27
453         1821.3        1858.48
454         1821.3        1853.16
