GEN #         BEST_L         L_MEAN
457        1693.95        1740.19
458        1693.95        1716.84
459        1693.95        1726.12
460        1693.45        1729.97
461        1693.45        1725.62
462        1693.45        1709.84
463         1692.3        1714.52
464         1692.3        1721.32
465         1692.3        1712.75
466         1692.3        1739.71
467         1692.3         1725.1
468         1692.3        1718.17
469         1692.3        1726.57
470         1692.3         1710.7
471         1692.3        1719.46
472         1692.3        1723.32
473         1692.3        1731.36
474         1692.3        1717.37
475         1692.3        1709.87
476         1692.3        1720.89
477         1692.3         1707.4
478         1692.3        1709.63
479         1692.3           1716
480         1691.8        1721.54
481         1691.8        1727.31
482        1691.68        1711.17
483        1691.04        1722.05
484        1691.04        1719.55
485        1691.04        1704.85
486        1691.04        1724.66
487        1691.04        1728.54
488        1691.04        1719.99
489        1691.04        1715.97
490        1689.85        1711.81
491        1689.85        1715.94
492         1689.6        1715.57
493         1689.6        1727.48
494         1688.2        1715.96
495         1688.2        1725.76
496         1688.2        1720.19
497         1688.2        1724.21
498         1688.2        1726.08
499         1688.2        1725.94
500        1687.68        1715.09
