#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         240    0.863061    0.799546  0.00509491
         241    0.853478     0.79977  0.00507868
         242    0.787783    0.799721  0.00505793
         243    0.710861    0.799355  0.00505032
         244    0.691102    0.798911  0.00504907
         245    0.747922    0.798703  0.00503275
         246     0.81982    0.798789  0.00501302
         247    0.844061    0.798972  0.00499608
         248    0.830581      0.7991  0.00497756
         249    0.817286    0.799173   0.0049581
         250    0.811119    0.799221   0.0049385
         251    0.817554    0.799294  0.00491937
         252      0.8207    0.799379  0.00490058
         253    0.798212    0.799374  0.00488121
         254    0.774096    0.799274  0.00486301
         255     0.78352    0.799213  0.00484433
         256    0.822257    0.799303  0.00482624
         257    0.838877    0.799457  0.00480992
         258    0.815372    0.799518  0.00479167
         259    0.781963    0.799451  0.00477365
         260    0.772204    0.799346  0.00475644
         261    0.792347    0.799319  0.00473829
         262    0.820023    0.799398  0.00472087
         263    0.820952     0.79948  0.00470363
         264    0.789603    0.799443  0.00468596
         265    0.754535    0.799273  0.00467134
         266    0.745138     0.79907  0.00465821
         267    0.780936    0.799002  0.00464126
         268    0.845384    0.799175  0.00462717
         269    0.881663    0.799481  0.00462011
         270    0.858199    0.799699  0.00460812
         271    0.796636    0.799688  0.00459113
         272    0.765852    0.799563  0.00457593
         273    0.789028    0.799525  0.00455933
         274     0.81535    0.799582  0.00454306
         275    0.821819    0.799663  0.00452726
         276    0.811579    0.799706  0.00451106
         277    0.797047    0.799697  0.00449479
         278     0.78744    0.799653  0.00447884
         279    0.770101    0.799547  0.00446403
         280    0.749273    0.799367   0.0044517
         281    0.754603    0.799208  0.00443871
         282    0.794369    0.799191    0.004423
         283    0.834616    0.799316  0.00440914
         284    0.826121     0.79941  0.00439463
         285    0.782968    0.799353  0.00437959
         286     0.75556    0.799199  0.00436695
         287    0.767123    0.799088  0.00435316
         288    0.798925    0.799087  0.00433805
         289    0.813459    0.799137  0.00432332
         290    0.802792    0.799149  0.00430843
         291    0.784721      0.7991  0.00429391
         292    0.766338    0.798988  0.00428067
         293    0.744386    0.798801  0.00427012
         294    0.732525    0.798576  0.00426154
         295    0.765506    0.798464  0.00424857
         296    0.831451    0.798575  0.00423568
         297    0.872992    0.798826  0.00422882
         298    0.873462    0.799076  0.00422204
         299    0.844798    0.799229  0.00421069
         300    0.795079    0.799215  0.00419667
         301    0.757878    0.799078  0.00418498
         302    0.771165    0.798986  0.00417214
         303    0.811211    0.799026  0.00415857
         304    0.830803     0.79913   0.0041462
         305     0.81875    0.799195  0.00413311
         306    0.817044    0.799253  0.00412001
         307    0.822367    0.799328  0.00410728
         308    0.825409    0.799413  0.00409482
         309    0.835505     0.79953  0.00408323
         310    0.814425    0.799578  0.00407034
         311    0.782385    0.799523  0.00405763
         312    0.790165    0.799493  0.00404473
         313    0.799526    0.799493  0.00403181
         314    0.786748    0.799452  0.00401918
         315    0.783062      0.7994  0.00400675
         316    0.794079    0.799383  0.00399411
         317    0.807312    0.799408  0.00398159
         318    0.829889    0.799504  0.00397022
         319    0.837285    0.799623  0.00395954
         320    0.796264    0.799612  0.00394718
         321    0.754335    0.799471   0.0039374
         322    0.766857     0.79937  0.00392648
         323    0.805384    0.799388  0.00391437
         324    0.819568    0.799451  0.00390278
         325    0.808937     0.79948  0.00389088
