SA_STEP        SA_TEMP      FINAL_AVE          ERROR     ACCEPTANCE
    169      0.0177515      -0.418926     0.00362873        0.68802
    170      0.0176471      -0.414944     0.00404631        0.69785
    171      0.0175439      -0.426774     0.00364438        0.69741
    172      0.0174419      -0.415587     0.00437652        0.69921
    173       0.017341      -0.416723     0.00408065        0.69853
    174      0.0172414      -0.423452       0.003791        0.69759
    175      0.0171429       -0.42736     0.00323537        0.69324
    176      0.0170455      -0.428389     0.00312497        0.69592
    177      0.0169492      -0.420501       0.003104        0.67139
    178      0.0168539      -0.410034     0.00321922        0.66247
    179      0.0167598      -0.424337     0.00283742        0.68008
    180      0.0166667      -0.415073     0.00356139        0.67926
    181      0.0165746      -0.419301     0.00369831        0.68636
    182      0.0164835      -0.422126     0.00339641        0.68998
    183      0.0163934      -0.426425     0.00301058        0.68813
    184      0.0163043      -0.415837       0.003966          0.687
    185      0.0162162       -0.42747      0.0033189        0.69798
    186       0.016129      -0.418777     0.00427703        0.69315
    187      0.0160428      -0.429135      0.0037549        0.69605
    188      0.0159574      -0.423442     0.00371875         0.6933
    189       0.015873      -0.415989      0.0037469        0.68878
    190      0.0157895      -0.417448     0.00327902        0.68903
    191      0.0157068       -0.41435     0.00380062        0.68753
    192       0.015625      -0.414273     0.00401302        0.68744
    193       0.015544      -0.415004     0.00419105        0.68979
    194      0.0154639      -0.422791     0.00358797        0.69896
    195      0.0153846      -0.402484     0.00498485        0.70476
    196      0.0153061      -0.398254     0.00528383        0.71588
    197      0.0152284      -0.408053     0.00477333        0.71009
    198      0.0151515      -0.416429     0.00421283        0.70776
    199      0.0150754      -0.411508     0.00428991        0.70752
    200          0.015      -0.417358     0.00405517        0.69831
    201      0.0149254      -0.414292     0.00413118        0.70039
    202      0.0148515      -0.423427     0.00344213        0.68924
    203      0.0147783      -0.423588     0.00336074        0.69333
    204      0.0147059      -0.432901     0.00299404        0.69094
    205      0.0146341      -0.429001      0.0029808        0.68153
    206      0.0145631      -0.435427     0.00237253        0.69067
    207      0.0144928      -0.439969     0.00284582        0.70545
    208      0.0144231      -0.431082     0.00347285        0.70711
    209      0.0143541      -0.437483     0.00308967        0.70346
    210      0.0142857      -0.444513     0.00262011        0.71547
    211       0.014218      -0.437932     0.00308148        0.71433
    212      0.0141509       -0.44319     0.00268224        0.71492
    213      0.0140845       -0.44029     0.00248249         0.7126
    214      0.0140187      -0.441604     0.00261223        0.71081
    215      0.0139535      -0.436698     0.00286408        0.72215
    216      0.0138889      -0.431313     0.00379568        0.72876
    217      0.0138249      -0.436323     0.00291345         0.7263
    218      0.0137615      -0.433258     0.00352491        0.73777
    219      0.0136986      -0.432568     0.00364149        0.73437
    220      0.0136364      -0.441392     0.00303695        0.73483
    221      0.0135747       -0.41945     0.00454643        0.74112
    222      0.0135135      -0.421403     0.00442007        0.74142
    223      0.0134529      -0.414161     0.00457703        0.74892
    224      0.0133929        -0.4234     0.00425313          0.756
    225      0.0133333      -0.413735     0.00542804        0.75103
    226      0.0132743      -0.429206     0.00412684         0.7449
    227      0.0132159      -0.436097     0.00418878        0.74383
    228      0.0131579      -0.432736     0.00494597        0.74102
    229      0.0131004      -0.434387     0.00411158        0.73765
    230      0.0130435      -0.433836     0.00405085        0.73765
    231       0.012987      -0.435031     0.00350964         0.7453
    232       0.012931      -0.435622      0.0035733        0.74255
    233      0.0128755       -0.43945     0.00298431        0.73984
    234      0.0128205      -0.438489     0.00337741          0.737
    235       0.012766      -0.441835     0.00358158        0.72998
    236      0.0127119      -0.445738     0.00239505        0.72787
    237      0.0126582      -0.443834     0.00305777        0.72944
    238       0.012605      -0.444768     0.00264146        0.72377
    239      0.0125523      -0.444939     0.00257017        0.72741
    240         0.0125      -0.444113     0.00277183        0.71865
    241      0.0124481      -0.445359     0.00260925        0.72521
    242      0.0123967      -0.440503     0.00302351        0.72836
    243      0.0123457      -0.445295     0.00263296        0.72906
    244      0.0122951      -0.436254     0.00368282        0.72846
    245      0.0122449      -0.435939     0.00320246        0.73063
    246      0.0121951      -0.439379     0.00274935        0.72963
    247      0.0121457      -0.441836      0.0029756        0.72631
    248      0.0120968      -0.438063     0.00337933        0.72791
    249      0.0120482      -0.443495      0.0031515        0.72916
    250          0.012      -0.446614     0.00283052        0.71634
    251      0.0119522      -0.444405     0.00220512        0.71831
    252      0.0119048      -0.440237     0.00250608        0.70891
    253      0.0118577      -0.445635     0.00219676        0.71222
    254       0.011811      -0.444416     0.00197465        0.70925
    255      0.0117647      -0.443412     0.00234926        0.71804
    256      0.0117188      -0.442538     0.00251784        0.72159
    257      0.0116732      -0.444097     0.00242101        0.71949
    258      0.0116279      -0.442814     0.00260473        0.71946
    259       0.011583      -0.445408     0.00246295        0.72027
    260      0.0115385      -0.441168        0.00262        0.71658
    261      0.0114943      -0.438475     0.00323772         0.7262
    262      0.0114504      -0.442368     0.00258902        0.72834
    263      0.0114068       -0.44104      0.0029767        0.72288
    264      0.0113636      -0.445065     0.00250146        0.72512
    265      0.0113208      -0.438689     0.00292145        0.72314
