#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         500    -1.61456    -2.91914    0.122821
         501     -1.6202    -2.91655    0.122603
         502    -1.62608    -2.91398    0.122386
         503    -1.63196    -2.91143    0.122169
         504    -1.63711     -2.9089    0.121953
         505    -1.64202    -2.90639    0.121737
         506    -1.64621     -2.9039    0.121522
         507    -1.65065    -2.90143    0.121307
         508     -1.6551    -2.89898    0.121093
         509    -1.65909    -2.89654     0.12088
         510    -1.66309    -2.89412    0.120667
         511    -1.66663    -2.89172    0.120455
         512    -1.66997    -2.88933    0.120243
         513    -1.67333    -2.88696    0.120032
         514    -1.67626    -2.88461    0.119822
         515    -1.67923    -2.88227    0.119612
         516    -1.68225    -2.87994    0.119403
         517    -1.68461    -2.87763    0.119194
         518    -1.68679    -2.87533    0.118986
         519    -1.68856    -2.87304    0.118779
         520     -1.6904    -2.87077    0.118572
         521    -1.69208    -2.86851    0.118366
         522    -1.69337    -2.86626    0.118161
         523    -1.69451    -2.86402    0.117956
         524    -1.69551    -2.86179    0.117752
         525    -1.69661    -2.85957    0.117549
         526    -1.69758    -2.85736    0.117346
         527    -1.69819    -2.85516    0.117144
         528    -1.69867    -2.85297    0.116943
         529    -1.69928    -2.85079    0.116742
         530    -1.69882    -2.84861    0.116542
         531     -1.6997    -2.84645    0.116343
         532        -1.7    -2.84429    0.116144
         533    -1.70044    -2.84215    0.115946
         534    -1.70031    -2.84001    0.115748
         535    -1.70034    -2.83788    0.115552
         536    -1.70028    -2.83576    0.115356
         537    -1.70063    -2.83364     0.11516
         538    -1.70042    -2.83154    0.114965
         539    -1.70062    -2.82944    0.114771
         540    -1.70028    -2.82735    0.114578
         541    -1.69987    -2.82526    0.114385
         542    -1.69915    -2.82319    0.114193
         543    -1.69814    -2.82111    0.114001
         544    -1.69731    -2.81905     0.11381
         545    -1.69667    -2.81699     0.11362
         546    -1.69597    -2.81494    0.113431
         547    -1.69547    -2.81289    0.113242
         548    -1.69516    -2.81085    0.113053
         549    -1.69336    -2.80881    0.112866
         550    -1.69247    -2.80678    0.112679
         551     -1.6913    -2.80476    0.112493
         552    -1.68961    -2.80274    0.112307
         553    -1.68859    -2.80072    0.112122
         554    -1.68753    -2.79872    0.111937
         555    -1.68619    -2.79671    0.111754
         556    -1.68504    -2.79471    0.111571
         557    -1.68386    -2.79272    0.111388
         558    -1.68287    -2.79073    0.111206
         559    -1.68183    -2.78874    0.111025
         560    -1.68051    -2.78677    0.110844
         561    -1.67987    -2.78479    0.110664
         562    -1.67845    -2.78282    0.110485
         563    -1.67699    -2.78086    0.110306
         564    -1.67572     -2.7789    0.110128
