#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         407     1.79769     1.78812 0.000903711
         408     1.79814     1.78815 0.000901829
         409     1.79858     1.78818 0.000899985
         410       1.799      1.7882 0.000898177
         411     1.79942     1.78823 0.000896406
         412     1.79982     1.78826 0.000894672
         413     1.80021     1.78829 0.000892973
         414     1.80059     1.78832  0.00089131
         415     1.80095     1.78835 0.000889682
         416     1.80131     1.78838 0.000888089
         417     1.80165     1.78841 0.000886529
         418     1.80198     1.78844 0.000885003
         419      1.8023     1.78847 0.000883508
         420      1.8026     1.78851 0.000882045
         421      1.8029     1.78854 0.000880612
         422     1.80318     1.78858 0.000879208
         423     1.80346     1.78861 0.000877833
         424     1.80372     1.78865 0.000876485
         425     1.80397     1.78868 0.000875163
         426      1.8042     1.78872 0.000873867
         427     1.80443     1.78876 0.000872595
         428     1.80465     1.78879 0.000871345
         429     1.80485     1.78883 0.000870118
         430     1.80505     1.78887 0.000868911
         431     1.80523     1.78891 0.000867724
         432      1.8054     1.78895 0.000866555
         433     1.80556     1.78898 0.000865403
         434     1.80571     1.78902 0.000864267
         435     1.80585     1.78906 0.000863146
         436     1.80598      1.7891 0.000862038
         437      1.8061     1.78914 0.000860943
         438     1.80621     1.78918 0.000859859
         439     1.80631     1.78922 0.000858786
         440      1.8064     1.78926 0.000857722
         441     1.80648     1.78929 0.000856666
         442     1.80655     1.78933 0.000855617
         443     1.80661     1.78937 0.000854573
         444     1.80666     1.78941 0.000853535
         445      1.8067     1.78945   0.0008525
         446     1.80673     1.78949 0.000851469
         447     1.80675     1.78953 0.000850439
         448     1.80676     1.78957  0.00084941
         449     1.80676      1.7896 0.000848382
         450     1.80676     1.78964 0.000847352
         451     1.80674     1.78968 0.000846321
         452     1.80672     1.78972 0.000845288
         453     1.80668     1.78976 0.000844251
         454     1.80664     1.78979  0.00084321
         455     1.80659     1.78983 0.000842164
         456     1.80653     1.78987 0.000841113
         457     1.80646      1.7899 0.000840055
         458     1.80638     1.78994  0.00083899
         459     1.80629     1.78997 0.000837919
         460     1.80619     1.79001 0.000836839
         461     1.80609     1.79004  0.00083575
         462     1.80598     1.79008 0.000834652
         463     1.80586     1.79011 0.000833545
         464     1.80573     1.79015 0.000832427
         465     1.80559     1.79018 0.000831299
         466     1.80544     1.79021  0.00083016
         467     1.80529     1.79025 0.000829009
         468     1.80512     1.79028 0.000827847
         469     1.80495     1.79031 0.000826674
         470     1.80477     1.79034 0.000825487
         471     1.80459     1.79037 0.000824289
         472     1.80439      1.7904 0.000823078
         473     1.80419     1.79043 0.000821854
         474     1.80398     1.79046 0.000820617
         475     1.80376     1.79048 0.000819367
         476     1.80354     1.79051 0.000818105
         477      1.8033     1.79054 0.000816829
         478     1.80306     1.79057  0.00081554
         479     1.80281     1.79059 0.000814238
         480     1.80256     1.79062 0.000812923
         481      1.8023     1.79064 0.000811596
         482     1.80203     1.79066 0.000810256
         483     1.80175     1.79069 0.000808903
         484     1.80147     1.79071 0.000807538
         485     1.80117     1.79073 0.000806162
         486     1.80088     1.79075 0.000804773
         487     1.80057     1.79077 0.000803373
         488     1.80026     1.79079 0.000801963
         489     1.79995     1.79081 0.000800541
         490     1.79963     1.79083  0.00079911
         491      1.7993     1.79084 0.000797668
         492     1.79896     1.79086 0.000796218
         493     1.79863     1.79088 0.000794758
         494     1.79828     1.79089 0.000793291
         495     1.79793     1.79091 0.000791816
         496     1.79758     1.79092 0.000790334
         497     1.79722     1.79093 0.000788845
         498     1.79685     1.79094 0.000787351
         499     1.79649     1.79096 0.000785851
         500     1.79611     1.79097 0.000784347
         501     1.79574     1.79098 0.000782839
         502     1.79536     1.79098 0.000781329
         503     1.79498     1.79099 0.000779815
         504     1.79459       1.791 0.000778301
         505      1.7942     1.79101 0.000776786
         506     1.79381     1.79101  0.00077527
         507     1.79342     1.79102 0.000773756
         508     1.79302     1.79102 0.000772243
         509     1.79263     1.79102 0.000770732
         510     1.79223     1.79103 0.000769224
         511     1.79183     1.79103 0.000767721
         512     1.79143     1.79103 0.000766222
         513     1.79104     1.79103 0.000764728
         514     1.79064     1.79103  0.00076324
         515     1.79024     1.79103  0.00076176
         516     1.78984     1.79102 0.000760287
         517     1.78945     1.79102 0.000758823
         518     1.78906     1.79102 0.000757367
         519     1.78867     1.79101 0.000755921
         520     1.78828     1.79101 0.000754486
         521     1.78789       1.791 0.000753062
         522     1.78751     1.79099 0.000751649
         523     1.78713     1.79099 0.000750248
         524     1.78675     1.79098  0.00074886
         525     1.78638     1.79097 0.000747484
         526     1.78602     1.79096 0.000746123
         527     1.78565     1.79095 0.000744775
         528      1.7853     1.79094 0.000743441
         529     1.78495     1.79093 0.000742122
         530      1.7846     1.79092 0.000740818
         531     1.78427      1.7909 0.000739528
         532     1.78393     1.79089 0.000738254
         533     1.78361     1.79088 0.000736996
         534     1.78329     1.79086 0.000735752
         535     1.78298     1.79085 0.000734524
         536     1.78268     1.79083 0.000733312
         537     1.78239     1.79082 0.000732115
         538      1.7821      1.7908 0.000730933
         539     1.78183     1.79078 0.000729767
         540     1.78156     1.79077 0.000728616
         541      1.7813     1.79075 0.000727479
         542     1.78105     1.79073 0.000726357
         543     1.78081     1.79071 0.000725249
         544     1.78057     1.79069 0.000724156
         545     1.78035     1.79068 0.000723076
         546     1.78014     1.79066 0.000722009
         547     1.77993     1.79064 0.000720955
         548     1.77974     1.79062 0.000719913
         549     1.77956      1.7906 0.000718884
         550     1.77938     1.79058 0.000717866
         551     1.77922     1.79056 0.000716859
         552     1.77906     1.79053 0.000715863
         553     1.77892     1.79051 0.000714877
         554     1.77878     1.79049   0.0007139
         555     1.77865     1.79047 0.000712932
         556     1.77854     1.79045 0.000711973
         557     1.77843     1.79043 0.000711022
         558     1.77833     1.79041 0.000710078
         559     1.77824     1.79038 0.000709141
         560     1.77816     1.79036 0.000708211
         561     1.77809     1.79034 0.000707286
         562     1.77803     1.79032 0.000706367
         563     1.77797      1.7903 0.000705453
         564     1.77793     1.79028 0.000704543
         565     1.77789     1.79025 0.000703637
         566     1.77786     1.79023 0.000702734
         567     1.77784     1.79021 0.000701835
         568     1.77782     1.79019 0.000700938
         569     1.77782     1.79017 0.000700043
         570     1.77782     1.79014  0.00069915
         571     1.77782     1.79012 0.000698259
         572     1.77784      1.7901 0.000697369
         573     1.77786     1.79008 0.000696479
         574     1.77788     1.79006  0.00069559
         575     1.77792     1.79004   0.0006947
         576     1.77795     1.79002 0.000693811
         577       1.778        1.79 0.000692921
         578     1.77805     1.78998  0.00069203
         579     1.77811     1.78995 0.000691139
         580     1.77817     1.78993 0.000690246
         581     1.77823     1.78991 0.000689351
         582      1.7783     1.78989 0.000688456
         583     1.77838     1.78987 0.000687558
         584     1.77846     1.78986 0.000686658
         585     1.77855     1.78984 0.000685756
         586     1.77864     1.78982 0.000684852
         587     1.77873      1.7898 0.000683946
         588     1.77883     1.78978 0.000683037
         589     1.77893     1.78976 0.000682125
         590     1.77904     1.78974 0.000681211
         591     1.77915     1.78972 0.000680294
         592     1.77927     1.78971 0.000679374
         593     1.77939     1.78969 0.000678451
         594     1.77951     1.78967 0.000677525
         595     1.77964     1.78966 0.000676596
         596     1.77977     1.78964 0.000675664
         597     1.77991     1.78962 0.000674729
         598     1.78005     1.78961 0.000673791
         599     1.78019     1.78959 0.000672849
         600     1.78034     1.78958 0.000671904
         601     1.78049     1.78956 0.000670956
         602     1.78065     1.78955 0.000670005
         603     1.78081     1.78953  0.00066905
         604     1.78098     1.78952 0.000668092
         605     1.78115      1.7895 0.000667131
         606     1.78132     1.78949 0.000666167
         607      1.7815     1.78948   0.0006652
         608     1.78168     1.78946 0.000664229
         609     1.78187     1.78945 0.000663256
         610     1.78206     1.78944 0.000662279
         611     1.78225     1.78943   0.0006613
         612     1.78245     1.78942 0.000660317
         613     1.78266      1.7894 0.000659332
