#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         289     1.60845     2.10965   0.0332017
         290       1.609     2.10793   0.0331321
         291     1.60954     2.10621   0.0330624
         292     1.61006     2.10451   0.0329928
         293     1.61058     2.10283   0.0329233
         294      1.6111     2.10116   0.0328537
         295      1.6116      2.0995   0.0327843
         296     1.61209     2.09785   0.0327148
         297     1.61257     2.09622   0.0326455
         298     1.61304      2.0946   0.0325762
         299      1.6135     2.09299   0.0325069
         300     1.61394     2.09139   0.0324378
         301     1.61438      2.0898   0.0323687
         302      1.6148     2.08823   0.0322997
         303     1.61521     2.08667   0.0322308
         304     1.61561     2.08512    0.032162
         305       1.616     2.08358   0.0320933
         306     1.61637     2.08206   0.0320247
         307     1.61673     2.08054   0.0319563
         308     1.61709     2.07904   0.0318879
         309     1.61743     2.07754   0.0318197
         310     1.61776     2.07606   0.0317516
         311     1.61809     2.07459   0.0316836
         312     1.61841     2.07312   0.0316158
         313     1.61872     2.07167   0.0315481
         314     1.61902     2.07023   0.0314805
         315     1.61933      2.0688   0.0314131
         316     1.61963     2.06738   0.0313459
         317     1.61993     2.06597   0.0312787
         318     1.62023     2.06456   0.0312118
         319     1.62053     2.06317    0.031145
         320     1.62084     2.06179   0.0310783
         321     1.62115     2.06042   0.0310118
         322     1.62147     2.05905   0.0309454
         323      1.6218      2.0577   0.0308792
         324     1.62214     2.05636   0.0308131
         325     1.62248     2.05502   0.0307472
         326     1.62284      2.0537   0.0306815
         327     1.62322     2.05238   0.0306159
         328     1.62361     2.05107   0.0305504
         329     1.62402     2.04977   0.0304851
         330     1.62444     2.04848     0.03042
         331     1.62488     2.04721    0.030355
         332     1.62534     2.04593   0.0302902
         333     1.62581     2.04467   0.0302255
         334     1.62631     2.04342   0.0301609
         335     1.62682     2.04218   0.0300965
         336     1.62735     2.04094   0.0300322
         337      1.6279     2.03972   0.0299681
         338     1.62847      2.0385   0.0299042
         339     1.62905     2.03729   0.0298403
         340     1.62964     2.03609   0.0297766
         341     1.63025      2.0349   0.0297131
         342     1.63086     2.03372   0.0296497
         343     1.63149     2.03255   0.0295864
         344     1.63212     2.03138   0.0295233
         345     1.63276     2.03023   0.0294603
         346      1.6334     2.02908   0.0293975
         347     1.63404     2.02794   0.0293348
         348     1.63467     2.02681   0.0292723
         349      1.6353     2.02569   0.0292099
         350     1.63592     2.02458   0.0291477
         351     1.63652     2.02347   0.0290856
         352     1.63711     2.02238   0.0290237
         353     1.63768     2.02129   0.0289619
         354     1.63823      2.0202   0.0289003
         355     1.63876     2.01913   0.0288388
         356     1.63926     2.01806   0.0287776
         357     1.63972       2.017   0.0287165
         358     1.64016     2.01595   0.0286555
         359     1.64055      2.0149   0.0285948
         360     1.64091     2.01386   0.0285342
         361     1.64123     2.01283   0.0284738
         362      1.6415     2.01181   0.0284137
         363     1.64173     2.01079   0.0283537
         364     1.64191     2.00977   0.0282939
         365     1.64204     2.00877   0.0282343
         366     1.64212     2.00776   0.0281749
         367     1.64215     2.00677   0.0281158
         368     1.64212     2.00578   0.0280568
         369     1.64205     2.00479   0.0279981
         370     1.64192     2.00381   0.0279396
         371     1.64173     2.00283   0.0278813
         372      1.6415     2.00186   0.0278233
         373      1.6412      2.0009   0.0277655
         374     1.64086     1.99993   0.0277079
         375     1.64046     1.99898   0.0276506
         376     1.64001     1.99802   0.0275936
         377     1.63951     1.99707   0.0275367
         378     1.63896     1.99612   0.0274802
         379     1.63836     1.99518   0.0274239
         380     1.63772     1.99424   0.0273678
         381     1.63703      1.9933   0.0273121
         382      1.6363     1.99237   0.0272566
         383     1.63553     1.99143   0.0272013
         384     1.63473     1.99051   0.0271463
         385     1.63388     1.98958   0.0270916
         386     1.63301     1.98866   0.0270372
         387      1.6321     1.98773    0.026983
         388     1.63117     1.98681   0.0269291
         389     1.63021      1.9859   0.0268755
         390     1.62923     1.98498   0.0268221
         391     1.62823     1.98407    0.026769
         392     1.62722     1.98316   0.0267162
         393     1.62619     1.98225   0.0266637
         394     1.62515     1.98135   0.0266114
         395     1.62411     1.98044   0.0265594
         396     1.62306     1.97954   0.0265077
         397       1.622     1.97864   0.0264562
         398     1.62095     1.97774    0.026405
         399      1.6199     1.97684    0.026354
         400     1.61885     1.97595   0.0263033
         401     1.61781     1.97505   0.0262529
         402     1.61678     1.97416   0.0262027
         403     1.61577     1.97327   0.0261528
         404     1.61477     1.97239   0.0261031
         405     1.61378      1.9715   0.0260537
         406     1.61282     1.97062   0.0260045
         407     1.61188     1.96974   0.0259555
         408     1.61096     1.96886   0.0259068
         409     1.61006     1.96798   0.0258583
         410     1.60919      1.9671     0.02581
         411     1.60835     1.96623    0.025762
         412     1.60755     1.96536   0.0257142
         413     1.60677     1.96449   0.0256665
         414     1.60603     1.96363   0.0256191
         415     1.60532     1.96276    0.025572
         416     1.60465      1.9619    0.025525
         417     1.60402     1.96104   0.0254782
         418     1.60343     1.96019   0.0254316
         419     1.60287     1.95934   0.0253852
         420     1.60236     1.95849    0.025339
         421      1.6019     1.95764   0.0252929
         422     1.60147      1.9568   0.0252471
         423      1.6011     1.95595   0.0252014
         424     1.60076     1.95512   0.0251559
         425     1.60048     1.95428   0.0251105
         426     1.60025     1.95345   0.0250653
         427     1.60007     1.95262   0.0250203
         428     1.59994      1.9518   0.0249754
         429     1.59986     1.95098   0.0249306
         430     1.59984     1.95016    0.024886
         431     1.59987     1.94935   0.0248416
         432     1.59996     1.94854   0.0247972
         433     1.60011     1.94774    0.024753
         434     1.60032     1.94694   0.0247089
         435     1.60059     1.94614   0.0246649
         436     1.60092     1.94535   0.0246211
         437     1.60132     1.94456   0.0245773
         438     1.60178     1.94378   0.0245337
         439     1.60232       1.943   0.0244901
         440     1.60292     1.94223   0.0244466
         441     1.60359     1.94146   0.0244033
         442     1.60433      1.9407     0.02436
         443     1.60515     1.93994   0.0243167
         444     1.60604     1.93919   0.0242736
         445       1.607     1.93844   0.0242305
         446     1.60805      1.9377   0.0241875
         447     1.60916     1.93697   0.0241446
         448     1.61035     1.93624   0.0241017
         449     1.61162     1.93551   0.0240589
         450     1.61297      1.9348   0.0240161
         451      1.6144     1.93409   0.0239733
         452      1.6159     1.93338   0.0239306
         453     1.61748     1.93268   0.0238879
         454     1.61913     1.93199   0.0238453
         455     1.62087     1.93131   0.0238027
         456     1.62267     1.93063   0.0237601
         457     1.62455     1.92996   0.0237176
         458      1.6265      1.9293    0.023675
         459     1.62852     1.92865   0.0236325
         460     1.63061       1.928     0.02359
         461     1.63276     1.92736   0.0235476
         462     1.63497     1.92672   0.0235051
         463     1.63724      1.9261   0.0234626
         464     1.63957     1.92548   0.0234202
         465     1.64194     1.92487   0.0233778
         466     1.64437     1.92427   0.0233353
         467     1.64684     1.92368   0.0232929
         468     1.64935     1.92309   0.0232505
         469      1.6519     1.92251   0.0232082
         470     1.65448     1.92194   0.0231658
         471     1.65708     1.92138   0.0231234
         472     1.65971     1.92082   0.0230811
         473     1.66236     1.92028   0.0230387
         474     1.66502     1.91974   0.0229964
         475     1.66769     1.91921   0.0229541
         476     1.67036     1.91869   0.0229119
         477     1.67303     1.91817   0.0228696
         478     1.67569     1.91766   0.0228274
         479     1.67835     1.91716   0.0227852
         480     1.68098     1.91667   0.0227431
         481      1.6836     1.91619   0.0227009
         482     1.68619     1.91571   0.0226589
         483     1.68876     1.91524   0.0226168
         484      1.6913     1.91478   0.0225748
         485      1.6938     1.91432   0.0225329
         486     1.69626     1.91387    0.022491
         487     1.69868     1.91343   0.0224491
         488     1.70106       1.913   0.0224073
         489     1.70339     1.91257   0.0223656
         490     1.70566     1.91215    0.022324
         491     1.70788     1.91173   0.0222824
         492     1.71004     1.91132   0.0222409
         493     1.71215     1.91092   0.0221994
         494     1.71419     1.91052    0.022158
         495     1.71617     1.91013   0.0221168
         496     1.71809     1.90974   0.0220756
         497     1.71994     1.90936   0.0220344
         498     1.72173     1.90898   0.0219934
         499     1.72345     1.90861   0.0219525
         500     1.72511     1.90824   0.0219116
         501     1.72669     1.90788   0.0218709
         502     1.72821     1.90752   0.0218303
         503     1.72966     1.90717   0.0217897
         504     1.73105     1.90682   0.0217493
         505     1.73237     1.90647    0.021709
         506     1.73362     1.90613   0.0216688
         507     1.73481     1.90579   0.0216287
         508     1.73593     1.90546   0.0215887
         509     1.73699     1.90513   0.0215488
         510     1.73798      1.9048    0.021509
         511     1.73892     1.90447   0.0214694
         512     1.73979     1.90415   0.0214299
         513      1.7406     1.90383   0.0213905
         514     1.74136     1.90352   0.0213512
         515     1.74206      1.9032    0.021312
         516      1.7427     1.90289    0.021273
         517     1.74329     1.90258   0.0212341
         518     1.74383     1.90228   0.0211953
         519     1.74432     1.90197   0.0211566
         520     1.74476     1.90167   0.0211181
         521     1.74516     1.90137   0.0210797
         522     1.74551     1.90107   0.0210415
         523     1.74582     1.90078   0.0210033
         524     1.74608     1.90048   0.0209653
         525     1.74631     1.90019   0.0209274
         526      1.7465     1.89989   0.0208897
         527     1.74665      1.8996   0.0208521
         528     1.74676     1.89931   0.0208146
         529     1.74684     1.89903   0.0207772
         530     1.74689     1.89874     0.02074
         531     1.74691     1.89845   0.0207029
         532      1.7469     1.89817    0.020666
         533     1.74686     1.89788   0.0206291
         534      1.7468      1.8976   0.0205925
         535     1.74671     1.89732   0.0205559
         536      1.7466     1.89704   0.0205195
         537     1.74646     1.89676   0.0204832
         538     1.74631     1.89648    0.020447
         539     1.74613      1.8962    0.020411
         540     1.74593     1.89592   0.0203751
         541     1.74572     1.89564   0.0203393
         542     1.74548     1.89537   0.0203037
         543     1.74523     1.89509   0.0202682
         544     1.74497     1.89481   0.0202328
         545     1.74469     1.89454   0.0201975
         546      1.7444     1.89426   0.0201624
         547     1.74409     1.89399   0.0201274
         548     1.74377     1.89371   0.0200926
         549     1.74344     1.89344   0.0200578
         550      1.7431     1.89317   0.0200232
         551     1.74274     1.89289   0.0199887
         552     1.74238     1.89262   0.0199544
         553       1.742     1.89235   0.0199202
         554     1.74162     1.89208   0.0198861
         555     1.74122     1.89181   0.0198521
         556     1.74082     1.89153   0.0198182
         557     1.74041     1.89126   0.0197845
         558     1.73998     1.89099   0.0197509
         559     1.73955     1.89072   0.0197174
         560     1.73911     1.89045   0.0196841
