#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         251    -3.43054    -3.42289 0.000659188
         252    -3.43064    -3.42292  0.00065729
         253    -3.43075    -3.42295  0.00065542
         254    -3.43071    -3.42298 0.000653551
         255    -3.43098    -3.42302 0.000651739
         256    -3.43079    -3.42305   0.0006499
         257    -3.43075    -3.42308 0.000648062
         258    -3.43072    -3.42311 0.000646227
         259    -3.43084    -3.42314 0.000644421
         260    -3.43066    -3.42317 0.000642592
         261    -3.43063    -3.42319 0.000640766
         262     -3.4303    -3.42322 0.000638895
         263    -3.43043    -3.42325 0.000637053
         264    -3.43041    -3.42328 0.000635217
         265    -3.43009     -3.4233  0.00063334
         266    -3.42992    -3.42333 0.000631447
         267     -3.4302    -3.42335 0.000629607
         268    -3.43049    -3.42338 0.000627821
         269    -3.43047     -3.4234 0.000626041
         270    -3.43061    -3.42343 0.000624291
         271       -3.43    -3.42346 0.000622458
         272    -3.43029    -3.42348 0.000620676
         273    -3.42998     -3.4235 0.000618859
         274    -3.42982    -3.42353 0.000617029
         275    -3.43011    -3.42355 0.000615249
         276    -3.42995    -3.42357 0.000613457
         277     -3.4298     -3.4236 0.000611654
         278    -3.42964    -3.42362 0.000609839
         279    -3.42948    -3.42364 0.000608015
         280    -3.42932    -3.42366 0.000606183
         281    -3.42932    -3.42368  0.00060436
         282    -3.42976     -3.4237 0.000602601
         283    -3.42976    -3.42372 0.000600852
         284     -3.4299    -3.42375  0.00059913
         285    -3.42975    -3.42377 0.000597398
         286    -3.42959    -3.42379 0.000595656
         287    -3.42973    -3.42381  0.00059394
         288    -3.42987    -3.42383 0.000592252
         289    -3.43032    -3.42385 0.000590628
         290    -3.43016    -3.42387 0.000588992
         291       -3.43    -3.42389 0.000587345
         292    -3.42999    -3.42391 0.000585704
         293    -3.43013    -3.42394  0.00058409
         294    -3.42997    -3.42396 0.000582464
         295    -3.42996    -3.42398 0.000580846
         296    -3.42995      -3.424 0.000579234
         297    -3.43009    -3.42402 0.000577647
         298    -3.42963    -3.42404 0.000576016
         299    -3.42947    -3.42405 0.000574375
         300    -3.42945    -3.42407 0.000572743
         301    -3.42944    -3.42409 0.000571118
         302    -3.42958    -3.42411 0.000569516
         303    -3.42957    -3.42413 0.000567922
         304    -3.42956    -3.42414 0.000566334
         305    -3.42955    -3.42416 0.000564754
         306    -3.42953    -3.42418 0.000563182
         307    -3.42983     -3.4242 0.000561647
         308    -3.42997    -3.42422 0.000560136
         309    -3.42996    -3.42424 0.000558631
         310     -3.4301    -3.42425  0.00055715
         311    -3.42994    -3.42427 0.000555658
         312    -3.42994    -3.42429 0.000554174
         313    -3.42963    -3.42431 0.000552665
         314    -3.42962    -3.42432 0.000551165
         315    -3.42977    -3.42434 0.000549686
         316    -3.42962    -3.42436 0.000548201
         317    -3.42947    -3.42437 0.000546708
         318    -3.42963    -3.42439 0.000545238
         319    -3.42933    -3.42441 0.000543749
         320    -3.42948    -3.42442 0.000542281
         321    -3.42934    -3.42444 0.000540808
         322    -3.42935    -3.42445 0.000539343
         323    -3.42951    -3.42447   0.0005379
         324    -3.42967    -3.42448  0.00053648
         325    -3.42998     -3.4245 0.000535096
         326    -3.43015    -3.42452 0.000533735
         327    -3.43077    -3.42454 0.000532445
         328    -3.43063    -3.42456 0.000531146
         329     -3.4308    -3.42458  0.00052987
         330    -3.43052    -3.42459 0.000528571
         331    -3.43054    -3.42461 0.000527278
         332    -3.43055    -3.42463 0.000525994
         333    -3.43118    -3.42465 0.000524781
         334    -3.43135    -3.42467 0.000523593
         335    -3.43151    -3.42469 0.000522429
         336    -3.43168    -3.42471 0.000521288
         337     -3.4317    -3.42473 0.000520154
         338    -3.43217    -3.42475  0.00051908
         339    -3.43233    -3.42478  0.00051803
         340    -3.43235     -3.4248 0.000516985
         341    -3.43221    -3.42482 0.000515925
         342    -3.43221    -3.42484 0.000514869
         343    -3.43207    -3.42486 0.000513799
         344    -3.43208    -3.42488 0.000512734
         345    -3.43178     -3.4249 0.000511636
