#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         202    0.997521     1.56357   0.0244035
         203    0.997575     1.56078    0.024442
         204    0.997762     1.55802   0.0244775
         205    0.998077     1.55529   0.0245101
         206    0.998512     1.55259   0.0245396
         207    0.999061     1.54991   0.0245664
         208    0.999718     1.54727   0.0245902
         209     1.00048     1.54465   0.0246114
         210     1.00133     1.54206   0.0246298
         211     1.00227     1.53951   0.0246456
         212     1.00329     1.53698   0.0246588
         213     1.00439     1.53448   0.0246694
         214     1.00555       1.532   0.0246777
         215     1.00678     1.52956   0.0246835
         216     1.00806     1.52715    0.024687
         217     1.00939     1.52476   0.0246883
         218     1.01076      1.5224   0.0246874
         219     1.01217     1.52007   0.0246843
         220     1.01361     1.51777   0.0246792
         221     1.01507      1.5155   0.0246722
         222     1.01655     1.51325   0.0246632
         223     1.01805     1.51103   0.0246524
         224     1.01955     1.50883   0.0246398
         225     1.02106     1.50667   0.0246254
         226     1.02257     1.50453   0.0246095
         227     1.02408     1.50241   0.0245919
         228     1.02558     1.50032   0.0245728
         229     1.02707     1.49825   0.0245522
         230     1.02854     1.49621   0.0245303
         231        1.03     1.49419    0.024507
         232     1.03143      1.4922   0.0244824
         233     1.03285     1.49022   0.0244565
         234     1.03424     1.48828   0.0244295
         235      1.0356     1.48635   0.0244014
         236     1.03693     1.48444   0.0243722
         237     1.03823     1.48256    0.024342
         238     1.03951      1.4807   0.0243108
         239     1.04075     1.47886   0.0242787
         240     1.04195     1.47704   0.0242457
         241     1.04313     1.47524   0.0242118
         242     1.04426     1.47346   0.0241772
         243     1.04537      1.4717   0.0241418
         244     1.04644     1.46995   0.0241057
         245     1.04747     1.46823   0.0240689
         246     1.04847     1.46652   0.0240314
         247     1.04944     1.46483   0.0239934
         248     1.05037     1.46316   0.0239548
         249     1.05128     1.46151   0.0239156
         250     1.05214     1.45987   0.0238759
         251     1.05298     1.45825   0.0238358
         252     1.05379     1.45665   0.0237952
         253     1.05457     1.45506   0.0237541
         254     1.05532     1.45348   0.0237127
         255     1.05605     1.45192   0.0236709
         256     1.05674     1.45038   0.0236287
         257     1.05742     1.44885   0.0235862
         258     1.05807     1.44734   0.0235433
         259      1.0587     1.44584   0.0235002
         260     1.05931     1.44435   0.0234568
         261     1.05989     1.44288   0.0234131
         262     1.06046     1.44142   0.0233692
         263     1.06102     1.43997   0.0233251
         264     1.06155     1.43854   0.0232807
         265     1.06208     1.43712   0.0232362
         266     1.06259     1.43571   0.0231914
         267     1.06308     1.43431   0.0231465
         268     1.06357     1.43293   0.0231015
         269     1.06405     1.43156   0.0230563
         270     1.06451      1.4302   0.0230109
         271     1.06497     1.42885   0.0229654
         272     1.06542     1.42751   0.0229198
         273     1.06586     1.42619   0.0228741
         274      1.0663     1.42488   0.0228283
         275     1.06673     1.42357   0.0227824
         276     1.06716     1.42228   0.0227364
         277     1.06758       1.421   0.0226904
         278       1.068     1.41973   0.0226443
         279     1.06841     1.41847   0.0225981
         280     1.06882     1.41722   0.0225519
         281     1.06922     1.41599   0.0225056
         282     1.06962     1.41476   0.0224593
         283     1.07002     1.41354   0.0224129
         284     1.07041     1.41233   0.0223666
         285      1.0708     1.41113   0.0223202
         286     1.07118     1.40994   0.0222737
         287     1.07156     1.40877   0.0222273
         288     1.07193      1.4076   0.0221809
         289      1.0723     1.40644   0.0221345
         290     1.07267     1.40528    0.022088
         291     1.07302     1.40414   0.0220416
         292     1.07338     1.40301   0.0219952
         293     1.07372     1.40189   0.0219488
         294     1.07406     1.40077   0.0219025
         295      1.0744     1.39966   0.0218562
         296     1.07473     1.39857   0.0218099
         297     1.07505     1.39748   0.0217636
         298     1.07536      1.3964   0.0217174
         299     1.07566     1.39532   0.0216713
         300     1.07596     1.39426   0.0216252
         301     1.07625      1.3932   0.0215791
         302     1.07653     1.39215   0.0215331
         303     1.07681     1.39111   0.0214872
         304     1.07707     1.39008   0.0214413
         305     1.07733     1.38906   0.0213955
         306     1.07758     1.38804   0.0213498
         307     1.07782     1.38703   0.0213042
         308     1.07806     1.38602   0.0212586
         309     1.07829     1.38503   0.0212131
         310     1.07851     1.38404   0.0211677
         311     1.07873     1.38306   0.0211224
         312     1.07894     1.38208   0.0210772
         313     1.07915     1.38111   0.0210321
         314     1.07935     1.38015    0.020987
         315     1.07955      1.3792   0.0209421
         316     1.07975     1.37825   0.0208972
         317     1.07995     1.37731   0.0208525
         318     1.08015     1.37638   0.0208079
         319     1.08035     1.37545   0.0207633
         320     1.08056     1.37453   0.0207189
         321     1.08077     1.37361   0.0206745
         322     1.08098      1.3727   0.0206303
         323      1.0812      1.3718   0.0205861
         324     1.08142      1.3709   0.0205421
         325     1.08166     1.37001   0.0204982
         326      1.0819     1.36913   0.0204543
         327     1.08215     1.36825   0.0204106
         328     1.08241     1.36738    0.020367
         329     1.08268     1.36652   0.0203234
         330     1.08296     1.36566     0.02028
         331     1.08325      1.3648   0.0202367
         332     1.08356     1.36396   0.0201934
         333     1.08388     1.36312   0.0201503
         334     1.08421     1.36228   0.0201073
         335     1.08455     1.36145   0.0200643
         336      1.0849     1.36063   0.0200215
         337     1.08527     1.35981   0.0199788
         338     1.08564       1.359   0.0199361
         339     1.08603     1.35819   0.0198935
         340     1.08643      1.3574   0.0198511
         341     1.08683      1.3566   0.0198087
         342     1.08724     1.35581   0.0197665
         343     1.08766     1.35503   0.0197243
         344     1.08808     1.35426   0.0196822
         345     1.08851     1.35349   0.0196402
         346     1.08893     1.35272   0.0195983
         347     1.08936     1.35196   0.0195565
         348     1.08978     1.35121   0.0195149
         349      1.0902     1.35046   0.0194733
         350     1.09061     1.34972   0.0194318
         351     1.09101     1.34898   0.0193904
         352     1.09141     1.34825   0.0193491
         353     1.09179     1.34752   0.0193079
         354     1.09215      1.3468   0.0192669
         355     1.09251     1.34609   0.0192259
         356     1.09284     1.34537    0.019185
         357     1.09315     1.34467   0.0191443
         358     1.09344     1.34397   0.0191037
         359      1.0937     1.34327   0.0190632
         360     1.09394     1.34258   0.0190228
         361     1.09415     1.34189   0.0189826
         362     1.09433      1.3412   0.0189424
         363     1.09449     1.34052   0.0189024
         364     1.09461     1.33985   0.0188626
         365     1.09469     1.33918   0.0188229
         366     1.09475     1.33851   0.0187833
         367     1.09477     1.33785   0.0187438
         368     1.09475     1.33718   0.0187045
         369      1.0947     1.33653   0.0186654
         370     1.09461     1.33587   0.0186264
         371     1.09449     1.33522   0.0185875
         372     1.09433     1.33458   0.0185489
         373     1.09414     1.33393   0.0185103
         374     1.09391     1.33329    0.018472
         375     1.09364     1.33265   0.0184337
         376     1.09334     1.33201   0.0183957
         377     1.09301     1.33138   0.0183578
         378     1.09264     1.33075   0.0183201
         379     1.09224     1.33012   0.0182826
         380     1.09181     1.32949   0.0182452
         381     1.09136     1.32887    0.018208
         382     1.09087     1.32824    0.018171
         383     1.09036     1.32762   0.0181342
         384     1.08982       1.327   0.0180976
         385     1.08926     1.32639   0.0180611
         386     1.08867     1.32577   0.0180248
         387     1.08807     1.32516   0.0179887
         388     1.08745     1.32454   0.0179527
         389     1.08681     1.32393    0.017917
         390     1.08615     1.32332   0.0178814
         391     1.08549     1.32271    0.017846
         392     1.08481     1.32211   0.0178108
         393     1.08413      1.3215   0.0177758
         394     1.08344      1.3209   0.0177409
         395     1.08274     1.32029   0.0177063
         396     1.08204     1.31969   0.0176718
         397     1.08133     1.31909   0.0176375
         398     1.08063     1.31849   0.0176033
         399     1.07993      1.3179   0.0175693
         400     1.07923      1.3173   0.0175356
         401     1.07854      1.3167   0.0175019
         402     1.07786     1.31611   0.0174685
         403     1.07718     1.31552   0.0174352
         404     1.07651     1.31492   0.0174021
         405     1.07586     1.31433   0.0173691
         406     1.07521     1.31375   0.0173363
         407     1.07458     1.31316   0.0173037
         408     1.07397     1.31257   0.0172712
         409     1.07337     1.31199   0.0172389
         410      1.0728      1.3114   0.0172067
