#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         306    -5.46801    -5.46832  0.00113232
         307    -5.46833    -5.46832  0.00112863
         308    -5.46736    -5.46831  0.00112497
         309    -5.46736    -5.46831  0.00112134
         310    -5.46768    -5.46831  0.00111772
         311    -5.46767    -5.46831  0.00111413
         312    -5.46734     -5.4683  0.00111056
         313    -5.46734     -5.4683  0.00110702
         314    -5.46765     -5.4683  0.00110349
         315    -5.46731     -5.4683      0.0011
         316     -5.4673    -5.46829  0.00109652
         317    -5.46664    -5.46829  0.00109307
         318    -5.46662    -5.46828  0.00108965
         319    -5.46628    -5.46828  0.00108625
         320    -5.46626    -5.46827  0.00108287
         321    -5.46591    -5.46826  0.00107953
         322    -5.46621    -5.46826  0.00107619
         323    -5.46684    -5.46825  0.00107287
         324    -5.46649    -5.46825  0.00106957
         325    -5.46646    -5.46824  0.00106629
         326    -5.46676    -5.46824  0.00106303
         327    -5.46705    -5.46823  0.00105979
         328    -5.46669    -5.46823  0.00105657
         329    -5.46731    -5.46822  0.00105336
         330    -5.46695    -5.46822  0.00105018
         331    -5.46659    -5.46822  0.00104701
         332    -5.46655    -5.46821  0.00104387
         333    -5.46651    -5.46821  0.00104075
         334    -5.46615     -5.4682  0.00103765
         335    -5.46579    -5.46819  0.00103458
         336    -5.46477    -5.46818  0.00103155
         337    -5.46538    -5.46817  0.00102852
         338    -5.46501    -5.46816  0.00102552
         339    -5.46432    -5.46815  0.00102256
         340    -5.46427    -5.46814  0.00101962
         341    -5.46422    -5.46813  0.00101669
         342     -5.4632    -5.46812  0.00101382
         343    -5.46316     -5.4681  0.00101097
         344    -5.46311    -5.46809  0.00100813
         345    -5.46306    -5.46807  0.00100532
         346    -5.46268    -5.46806  0.00100253
         347    -5.46295    -5.46804 0.000999751
         348    -5.46225    -5.46803 0.000997017
         349     -5.4622    -5.46801   0.0009943
         350    -5.46182    -5.46799 0.000991616
         351    -5.46145    -5.46797 0.000988966
         352    -5.46139    -5.46795 0.000986333
         353    -5.46166    -5.46794   0.0009837
         354    -5.46161    -5.46792 0.000981084
         355    -5.46155     -5.4679 0.000978484
         356    -5.46214    -5.46788  0.00097587
         357    -5.46209    -5.46787 0.000973271
         358      -5.463    -5.46785 0.000970648
         359    -5.46327    -5.46784 0.000968028
         360    -5.46354    -5.46783 0.000965413
         361    -5.46284    -5.46782 0.000962837
         362    -5.46278     -5.4678 0.000960278
         363    -5.46337    -5.46779  0.00095771
         364    -5.46299    -5.46778  0.00095517
         365    -5.46294    -5.46776 0.000952645
         366    -5.46288    -5.46775 0.000950135
         367    -5.46283    -5.46774 0.000947641
         368     -5.4631    -5.46772 0.000945149
         369    -5.46305    -5.46771 0.000942673
         370    -5.46267     -5.4677 0.000940223
         371     -5.4623    -5.46768 0.000937802
         372    -5.46192    -5.46767 0.000935409
         373    -5.46219    -5.46765 0.000933016
         374    -5.46215    -5.46764 0.000930637
         375    -5.46145    -5.46762 0.000928302
         376    -5.46205    -5.46761 0.000925952
         377      -5.462    -5.46759 0.000923615
         378    -5.46163    -5.46758 0.000921306
         379    -5.46158    -5.46756 0.000919011
         380    -5.46089    -5.46754  0.00091676
         381    -5.46149    -5.46753 0.000914491
         382    -5.46112    -5.46751 0.000912251
         383    -5.46011    -5.46749 0.000910074
         384    -5.46007    -5.46747 0.000907909
         385    -5.46035    -5.46745  0.00090574
         386    -5.45998    -5.46743   0.0009036
         387    -5.45994    -5.46741 0.000901472
         388     -5.4599    -5.46739 0.000899357
         389    -5.45954    -5.46737 0.000897272
         390     -5.4595    -5.46735 0.000895199
         391    -5.45978    -5.46733 0.000893119
         392    -5.45909    -5.46731 0.000891088
         393    -5.45906    -5.46729 0.000889068
         394    -5.45902    -5.46727 0.000887059
         395    -5.45833    -5.46725 0.000885102
         396    -5.45798    -5.46723 0.000883177
