#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         265     1.02265     1.17792   0.0323923
         266     1.02423     1.17734   0.0322756
         267     1.02585     1.17678   0.0321597
         268     1.02751     1.17622   0.0320446
         269      1.0292     1.17567   0.0319301
         270     1.03093     1.17514   0.0318163
         271      1.0327     1.17461   0.0317033
         272      1.0345      1.1741   0.0315909
         273     1.03635     1.17359   0.0314792
         274     1.03823      1.1731   0.0313682
         275     1.04015     1.17261   0.0312579
         276     1.04211     1.17214   0.0311482
         277      1.0441     1.17168   0.0310392
         278     1.04614     1.17123   0.0309308
         279     1.04821     1.17079   0.0308231
         280     1.05031     1.17036    0.030716
         281     1.05246     1.16994   0.0306096
         282     1.05464     1.16953   0.0305037
         283     1.05685     1.16913   0.0303985
         284      1.0591     1.16874    0.030294
         285     1.06138     1.16837     0.03019
         286     1.06369       1.168   0.0300867
         287     1.06603     1.16764    0.029984
         288     1.06841      1.1673   0.0298818
         289     1.07081     1.16697   0.0297803
         290     1.07324     1.16664   0.0296794
         291      1.0757     1.16633    0.029579
         292     1.07818     1.16603   0.0294792
         293     1.08069     1.16574   0.0293801
         294     1.08322     1.16546   0.0292815
         295     1.08577     1.16519   0.0291835
         296     1.08835     1.16493    0.029086
         297     1.09094     1.16468   0.0289892
         298     1.09355     1.16444   0.0288929
         299     1.09617     1.16421   0.0287971
         300     1.09881     1.16399    0.028702
         301     1.10146     1.16379   0.0286074
         302     1.10412     1.16359   0.0285133
         303     1.10679      1.1634   0.0284198
         304     1.10947     1.16322   0.0283269
         305     1.11216     1.16306   0.0282345
         306     1.11484      1.1629   0.0281427
         307     1.11753     1.16275   0.0280514
         308     1.12023     1.16261   0.0279607
         309     1.12292     1.16248   0.0278705
         310     1.12561     1.16236   0.0277808
         311     1.12829     1.16225   0.0276917
         312     1.13097     1.16215   0.0276032
         313     1.13364     1.16206   0.0275151
         314     1.13631     1.16198   0.0274276
         315     1.13896     1.16191   0.0273406
         316      1.1416     1.16184   0.0272542
         317     1.14423     1.16179   0.0271683
         318     1.14684     1.16174   0.0270829
         319     1.14943      1.1617    0.026998
         320     1.15201     1.16167   0.0269137
         321     1.15457     1.16165   0.0268298
         322     1.15711     1.16164   0.0267465
         323     1.15962     1.16163   0.0266637
         324     1.16211     1.16163   0.0265814
         325     1.16457     1.16164   0.0264996
         326     1.16701     1.16166   0.0264183
         327     1.16942     1.16168   0.0263375
         328     1.17179     1.16171   0.0262573
         329     1.17414     1.16175   0.0261775
         330     1.17645     1.16179   0.0260982
         331     1.17873     1.16185   0.0260194
         332     1.18097      1.1619   0.0259411
         333     1.18318     1.16197   0.0258633
         334     1.18534     1.16204   0.0257859
         335     1.18747     1.16211   0.0257091
         336     1.18955     1.16219   0.0256327
         337      1.1916     1.16228   0.0255568
         338      1.1936     1.16237   0.0254813
         339     1.19555     1.16247   0.0254063
         340     1.19746     1.16258   0.0253318
         341     1.19933     1.16268   0.0252578
         342     1.20115      1.1628   0.0251842
         343     1.20292     1.16291    0.025111
         344     1.20464     1.16303   0.0250383
         345     1.20631     1.16316   0.0249661
         346     1.20793     1.16329   0.0248942
         347      1.2095     1.16342   0.0248229
         348     1.21102     1.16356   0.0247519
         349     1.21248      1.1637   0.0246814
         350      1.2139     1.16384   0.0246113
         351     1.21526     1.16399   0.0245416
         352     1.21656     1.16414   0.0244723
         353     1.21782     1.16429   0.0244035
         354     1.21901     1.16444    0.024335
         355     1.22016      1.1646    0.024267
         356     1.22125     1.16476   0.0241993
         357     1.22228     1.16492   0.0241321
         358     1.22325     1.16508   0.0240652
         359     1.22417     1.16525   0.0239988
         360     1.22504     1.16542   0.0239327
         361     1.22585     1.16558    0.023867
         362     1.22661     1.16575   0.0238016
         363     1.22731     1.16592   0.0237367
         364     1.22795     1.16609   0.0236721
         365     1.22854     1.16626   0.0236078
         366     1.22907     1.16643   0.0235439
         367     1.22955     1.16661   0.0234804
         368     1.22998     1.16678   0.0234172
         369     1.23035     1.16695   0.0233544
         370     1.23067     1.16712   0.0232919
         371     1.23094     1.16729   0.0232298
         372     1.23116     1.16747    0.023168
         373     1.23133     1.16764   0.0231065
         374     1.23144     1.16781   0.0230453
         375     1.23151     1.16798   0.0229845
         376     1.23152     1.16815    0.022924
         377     1.23149     1.16832   0.0228638
         378     1.23141     1.16848   0.0228039
         379     1.23129     1.16865   0.0227444
         380     1.23112     1.16881   0.0226851
         381      1.2309     1.16898   0.0226262
         382     1.23064     1.16914   0.0225675
         383     1.23033      1.1693   0.0225091
         384     1.22998     1.16945   0.0224511
         385     1.22958     1.16961   0.0223933
         386     1.22915     1.16976   0.0223358
         387     1.22867     1.16992   0.0222786
         388     1.22815     1.17007   0.0222217
         389     1.22759     1.17021   0.0221651
         390     1.22699     1.17036   0.0221087
         391     1.22635      1.1705   0.0220526
         392     1.22567     1.17064   0.0219968
         393     1.22495     1.17078   0.0219413
         394      1.2242     1.17092    0.021886
         395     1.22341     1.17105    0.021831
         396     1.22258     1.17118   0.0217763
         397     1.22172     1.17131   0.0217218
         398     1.22082     1.17143   0.0216676
         399     1.21989     1.17155   0.0216136
         400     1.21892     1.17167   0.0215599
         401     1.21792     1.17179   0.0215065
         402     1.21689      1.1719   0.0214533
         403     1.21583     1.17201   0.0214003
         404     1.21473     1.17211   0.0213476
         405     1.21361     1.17222   0.0212951
         406     1.21245     1.17232   0.0212429
         407     1.21126     1.17241   0.0211909
         408     1.21005      1.1725   0.0211392
         409      1.2088     1.17259   0.0210877
         410     1.20753     1.17268   0.0210364
         411     1.20623     1.17276   0.0209854
         412      1.2049     1.17284   0.0209346
         413     1.20355     1.17291   0.0208841
         414     1.20218     1.17298   0.0208337
         415     1.20078     1.17305   0.0207836
         416     1.19935     1.17311   0.0207338
         417      1.1979     1.17317   0.0206841
         418     1.19643     1.17323   0.0206347
         419     1.19494     1.17328   0.0205855
         420     1.19342     1.17333   0.0205366
         421     1.19188     1.17337   0.0204878
         422     1.19032     1.17341   0.0204393
         423     1.18874     1.17345   0.0203911
         424     1.18714     1.17348    0.020343
         425     1.18551     1.17351   0.0202951
         426     1.18387     1.17353   0.0202475
         427     1.18221     1.17355   0.0202001
         428     1.18053     1.17357   0.0201529
         429     1.17883     1.17358   0.0201059
         430     1.17713     1.17359   0.0200592
         431      1.1754     1.17359   0.0200126
         432     1.17367     1.17359   0.0199663
         433     1.17191     1.17359   0.0199202
         434     1.17015     1.17358   0.0198743
